Department,Month,BudgetAllocated,BudgetSpent,CloudCost,EmployeeCount,ProjectID,Comments
IT,Jan,500000,450000,120000,50,P001,-
HR,Jan,200000,220000,0,30,P002,Overspent
Finance,Jan,300000,280000,0,20,P003,-
IT,Feb,520000,510000,125000,52,P004,-
HR,Feb,210000,215000,0,31,P005,-
Finance,Feb,310000,300000,0,21,P006,-
IT,Mar,530000,540000,130000,53,P007,Overspent
HR,Mar,220000,225000,0,32,P008,-
Finance,Mar,320000,330000,0,22,P009,-
IT,Apr,540000,550000,135000,54,P010,-
HR,Apr,230000,235000,0,33,P011,Overspent
Finance,Apr,330000,340000,0,23,P012,-
